time,GEM_ver,state_ID,x1,x2
1.1,1.0,2.0,47.0,48.0
1.2,1.0,2.0,47.0,47.0
1.3,1.0,2.0,47.0,47.0
1.4,1.0,2.0,47.0,47.0
1.5,1.0,2.0,47.0,47.0
1.6,1.0,2.0,47.0,47.0
1.7,1.0,2.0,47.0,47.0
1.8,1.0,2.0,47.0,47.0
1.9,1.0,2.0,47.0,46.0
2.0,1.0,2.0,47.0,46.0
2.1,1.0,2.0,47.0,46.0
2.2,1.0,2.0,47.0,46.0
2.3,1.0,2.0,47.0,46.0
2.4,1.0,2.0,47.0,46.0
2.5,1.0,2.0,47.0,46.0
2.6,1.0,2.0,47.0,45.0
2.7,1.0,2.0,47.0,45.0
2.8,1.0,2.0,47.0,44.0
2.9,1.0,2.0,47.0,43.0
3.0,1.0,2.0,47.0,43.0
3.1,1.0,2.0,47.0,43.0
3.2,1.0,2.0,47.0,41.0
3.3,1.0,2.0,47.0,41.0
3.4,1.0,2.0,47.0,41.0
3.5,1.0,2.0,47.0,41.0
3.6,1.0,2.0,47.0,41.0
3.7,1.0,2.0,47.0,41.0
3.8,1.0,2.0,47.0,41.0
3.9,1.0,2.0,47.0,41.0
4.0,1.0,2.0,47.0,41.0
4.1,1.0,2.0,47.0,41.0
4.2,1.0,2.0,47.0,41.0
4.3,1.0,2.0,47.0,41.0
4.4,1.0,2.0,47.0,41.0
4.5,1.0,2.0,47.0,41.0
4.6,1.0,2.0,46.0,41.0
4.7,1.0,2.0,45.0,41.0
4.8,1.0,2.0,45.0,41.0
4.9,1.0,2.0,45.0,41.0
5.0,1.0,2.0,45.0,41.0
5.1,1.0,2.0,45.0,41.0
5.2,1.0,2.0,44.0,41.0
5.3,1.0,2.0,44.0,40.0
5.4,1.0,2.0,44.0,40.0
5.5,1.0,2.0,44.0,40.0
5.6,1.0,2.0,43.0,40.0
5.7,1.0,2.0,43.0,40.0
5.8,1.0,2.0,42.0,40.0
5.9,1.0,2.0,42.0,40.0
6.0,1.0,2.0,42.0,40.0
6.1,1.0,2.0,42.0,40.0
6.2,1.0,2.0,42.0,40.0
6.3,1.0,2.0,42.0,40.0
6.4,1.0,2.0,42.0,40.0
6.5,1.0,2.0,42.0,40.0
6.6,1.0,2.0,41.0,40.0
6.7,1.0,2.0,41.0,40.0
6.8,1.0,2.0,41.0,40.0
6.9,1.0,2.0,41.0,40.0
7.0,1.0,2.0,41.0,39.0
7.1,1.0,2.0,41.0,39.0
7.2,1.0,2.0,40.0,39.0
7.3,1.0,2.0,40.0,39.0
7.4,1.0,2.0,40.0,39.0
7.5,1.0,2.0,40.0,39.0
7.6,1.0,2.0,40.0,39.0
7.7,1.0,2.0,40.0,39.0
7.8,1.0,2.0,40.0,39.0
7.9,1.0,2.0,40.0,39.0
8.0,1.0,2.0,40.0,39.0
8.1,1.0,2.0,40.0,39.0
8.2,1.0,2.0,39.0,38.0
8.3,1.0,2.0,39.0,38.0
8.4,1.0,2.0,39.0,38.0
8.5,1.0,2.0,39.0,38.0
8.6,1.0,2.0,39.0,38.0
8.7,1.0,2.0,39.0,38.0
8.8,1.0,2.0,39.0,38.0
8.9,1.0,2.0,39.0,38.0
9.0,1.0,2.0,39.0,38.0
9.1,1.0,2.0,39.0,38.0
9.2,1.0,2.0,39.0,38.0
9.3,1.0,2.0,39.0,38.0
9.4,1.0,2.0,38.0,38.0
9.5,1.0,2.0,38.0,38.0
9.6,1.0,2.0,38.0,37.0
9.7,1.0,2.0,38.0,37.0
9.8,1.0,2.0,38.0,37.0
9.9,1.0,2.0,38.0,37.0
10.0,1.0,2.0,38.0,37.0
0.0,1.0,3.0,5.0,5.0
0.1,1.0,3.0,5.0,5.0
0.2,1.0,3.0,5.0,5.0
0.3,1.0,3.0,5.0,5.0
0.4,1.0,3.0,5.0,5.0
0.5,1.0,3.0,5.0,5.0
0.6,1.0,3.0,5.0,5.0
0.7,1.0,3.0,5.0,5.0
0.8,1.0,3.0,5.0,5.0
0.9,1.0,3.0,5.0,5.0
1.0,1.0,3.0,5.0,5.0
1.1,1.0,3.0,5.0,5.0
1.2,1.0,3.0,5.0,5.0
1.3,1.0,3.0,5.0,5.0
1.4,1.0,3.0,5.0,5.0
1.5,1.0,3.0,5.0,5.0
1.6,1.0,3.0,5.0,5.0
1.7,1.0,3.0,5.0,5.0
1.8,1.0,3.0,5.0,5.0
1.9,1.0,3.0,5.0,5.0
2.0,1.0,3.0,5.0,5.0
2.1,1.0,3.0,5.0,5.0
2.2,1.0,3.0,5.0,5.0
2.3,1.0,3.0,5.0,5.0
2.4,1.0,3.0,5.0,5.0
2.5,1.0,3.0,5.0,5.0
2.6,1.0,3.0,5.0,5.0
2.7,1.0,3.0,5.0,5.0
2.8,1.0,3.0,5.0,5.0
2.9,1.0,3.0,5.0,5.0
3.0,1.0,3.0,5.0,5.0
3.1,1.0,3.0,5.0,5.0
3.2,1.0,3.0,5.0,5.0
3.3,1.0,3.0,5.0,5.0
3.4,1.0,3.0,5.0,5.0
3.5,1.0,3.0,5.0,5.0
3.6,1.0,3.0,5.0,5.0
3.7,1.0,3.0,5.0,5.0
3.8,1.0,3.0,5.0,5.0
3.9,1.0,3.0,5.0,5.0
4.0,1.0,3.0,5.0,5.0
4.1,1.0,3.0,5.0,5.0
4.2,1.0,3.0,5.0,5.0
4.3,1.0,3.0,5.0,5.0
4.4,1.0,3.0,5.0,5.0
4.5,1.0,3.0,5.0,5.0
4.6,1.0,3.0,5.0,5.0
4.7,1.0,3.0,5.0,5.0
4.8,1.0,3.0,5.0,5.0
4.9,1.0,3.0,5.0,5.0
5.0,1.0,3.0,5.0,5.0
5.1,1.0,3.0,5.0,5.0
5.2,1.0,3.0,5.0,5.0
5.3,1.0,3.0,5.0,5.0
5.4,1.0,3.0,5.0,5.0
5.5,1.0,3.0,5.0,5.0
5.6,1.0,3.0,5.0,5.0
5.7,1.0,3.0,5.0,5.0
5.8,1.0,3.0,5.0,5.0
5.9,1.0,3.0,5.0,5.0
6.0,1.0,3.0,5.0,5.0
6.1,1.0,3.0,5.0,5.0
6.2,1.0,3.0,5.0,5.0
6.3,1.0,3.0,5.0,5.0
6.4,1.0,3.0,5.0,5.0
6.5,1.0,3.0,5.0,5.0
6.6,1.0,3.0,5.0,5.0
6.7,1.0,3.0,5.0,5.0
6.8,1.0,3.0,5.0,5.0
6.9,1.0,3.0,5.0,5.0
7.0,1.0,3.0,5.0,5.0
7.1,1.0,3.0,5.0,5.0
7.2,1.0,3.0,5.0,5.0
7.3,1.0,3.0,5.0,5.0
7.4,1.0,3.0,5.0,5.0
7.5,1.0,3.0,5.0,5.0
7.6,1.0,3.0,5.0,5.0
7.7,1.0,3.0,5.0,5.0
7.8,1.0,3.0,5.0,5.0
7.9,1.0,3.0,5.0,5.0
8.0,1.0,3.0,5.0,5.0
8.1,1.0,3.0,5.0,5.0
8.2,1.0,3.0,5.0,5.0
8.3,1.0,3.0,5.0,5.0
8.4,1.0,3.0,5.0,5.0
8.5,1.0,3.0,5.0,5.0
8.6,1.0,3.0,5.0,5.0
8.7,1.0,3.0,5.0,5.0
8.8,1.0,3.0,5.0,5.0
8.9,1.0,3.0,5.0,5.0
9.0,1.0,3.0,5.0,5.0
9.1,1.0,3.0,5.0,5.0
9.2,1.0,3.0,5.0,5.0
9.3,1.0,3.0,5.0,5.0
9.4,1.0,3.0,5.0,5.0
9.5,1.0,3.0,5.0,5.0
9.6,1.0,3.0,5.0,5.0
9.7,1.0,3.0,5.0,5.0
9.8,1.0,3.0,5.0,5.0
9.9,1.0,3.0,5.0,5.0
10.0,1.0,3.0,5.0,5.0
